icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ab1b3e,UAL1502 ,United States,1728145456.0,1728145456,-99.808,38.5747,10668.0,False,255.92,72.33,0.0,,11170.92,2062,False,0
3e46d6,DISAG   ,Germany,1728145397.0,1728145397,14.9386,56.9219,9761.22,False,240.74,281.84,-7.48,,9753.6,,False,0
c0197e,JZA593  ,Canada,1728145455.0,1728145455,-74.6267,42.8544,10355.58,False,211.88,286.94,-0.33,,10576.56,1367,False,0
504e72,FIA297  ,Republic of Moldova,1728145455.0,1728145455,20.472,44.4635,11597.64,False,219.06,248.8,0.0,,11803.38,7342,False,0
4bb866,PGT30MQ ,Turkey,1728145277.0,1728145277,29.7323,37.7683,9326.88,False,237.57,134.03,-5.2,,10386.06,4354,False,0
4bb867,PGT2HG  ,Turkey,1728145455.0,1728145455,9.8093,53.4373,1158.24,False,104.47,297.57,-2.28,,1242.06,3125,False,0
a81773,NKS1492 ,United States,1728145307.0,1728145307,-118.4143,33.9382,,True,7.46,264.38,,,,,False,0
a43458,FFT3282 ,United States,1728145455.0,1728145455,-91.9698,35.2242,10660.38,False,230.38,17.54,0.0,,11178.54,3462,False,0
4bb863,PGT3CH  ,Turkey,1728145455.0,1728145455,26.978,41.6176,11254.74,False,227.9,129.87,-4.23,,11681.46,4705,False,0
ad5b23,N96PS   ,United States,1728145455.0,1728145455,-83.5998,32.8288,1127.76,False,96.33,197.08,-1.3,,1196.34,,False,0
ab355c,JBU295  ,United States,1728145436.0,1728145441,-97.6723,30.2003,,True,0.0,87.19,,,,0621,False,0
aa7757,SWA211  ,United States,1728145455.0,1728145456,-103.8279,39.6053,6454.14,False,209.89,118.07,11.05,,6766.56,,False,0
c053c0,CGFSP   ,Canada,1728145456.0,1728145456,-79.9075,43.7522,350.52,False,35.65,110.27,-1.63,,426.72,4312,False,0
a2f44a,N29MX   ,United States,1728145455.0,1728145456,-112.4239,41.0107,2194.56,False,56.99,239.04,0.0,,2293.62,,False,0
c066f0,ACA761  ,Canada,1728145455.0,1728145455,-107.061,40.7398,10972.8,False,227.43,251.81,0.33,,11483.34,1027,False,0
a93724,N693PD  ,United States,1728145456.0,1728145456,-85.0811,33.5133,1798.32,False,130.76,11.58,-8.13,,1897.38,7366,False,0
ad8872,N971MC  ,United States,1728145455.0,1728145455,-99.6563,31.0003,13716.0,False,214.06,279.82,-1.3,,14401.8,,False,0
a361ac,N317JT  ,United States,1728145164.0,1728145168,-80.3228,37.0472,3108.96,False,92.42,223.65,0.0,,3261.36,,False,0
4cc530,ICE83C  ,Iceland,1728145157.0,1728145191,-0.8242,62.1431,12192.0,False,209.21,291.64,5.85,,12252.96,0254,False,0
504e65,FOE245  ,Republic of Moldova,1728145455.0,1728145455,19.0158,45.1289,11574.78,False,226.87,275.46,0.0,,11750.04,2345,False,0
504e61,HYS492  ,Republic of Moldova,1728145407.0,1728145407,27.3083,46.8932,5334.0,False,240.23,86.32,-17.23,,5669.28,0247,False,0
a81764,N620MV  ,United States,1728145455.0,1728145455,-97.6058,35.5055,914.4,False,73.57,180.4,-3.58,,967.74,,False,0
a2ed5a,SKW4049 ,United States,1728145456.0,1728145456,-122.3095,47.1734,3185.16,False,165.14,180.18,4.55,,3314.7,,False,0
4bb875,PGT5045 ,Turkey,1728145455.0,1728145456,10.5517,48.3565,5227.32,False,186.14,281.15,-7.15,,5288.28,7423,False,0
4bb876,PGT2QH  ,Turkey,1728145455.0,1728145455,18.0781,59.6764,335.28,False,64.63,256.18,-2.93,,388.62,5373,False,0
ac6886,UAL1152 ,United States,1728145456.0,1728145456,-114.2223,45.5288,10972.8,False,209.91,269.3,0.0,,11391.9,,False,0
a17170,AAL959  ,United States,1728145455.0,1728145455,-100.7621,34.2512,10066.02,False,248.77,107.57,0.0,,10561.32,6707,False,0
a4e4fd,SWA1373 ,United States,1728145456.0,1728145456,-77.6648,38.6167,7010.4,False,218.31,228.53,0.0,,7322.82,5616,False,0
a2a4ca,N27GS   ,United States,1728145455.0,1728145455,-87.4914,30.7793,2103.12,False,63.41,86.28,0.33,,2194.56,,False,0
a1ba59,RPA5781 ,United States,1728145455.0,1728145455,-71.0225,42.3631,,True,4.63,320.62,,,,7023,False,0
a2f43b,FDY405  ,United States,1728145455.0,1728145456,-93.6396,35.8442,2682.24,False,78.01,41.26,0.0,,2849.88,,False,0
71bf57,JNA065  ,Republic of Korea,1728145445.0,1728145449,120.4228,17.2817,9753.6,False,242.87,186.57,0.33,,10447.02,,False,0
a54169,LXJ438  ,United States,1728145456.0,1728145456,-80.1098,25.9185,3040.38,False,152.17,216.75,-8.13,,3208.02,5657,False,0
a30d6b,SKW135K ,United States,1728145456.0,1728145456,-95.7773,30.4741,8526.78,False,237.57,52.83,6.5,,9029.7,,False,0
4bb86b,PGT50FF ,Turkey,1728145456.0,1728145456,9.3276,49.5433,6286.5,False,213.76,132.37,9.43,,6393.18,7717,False,0
adc532,AAL3105 ,United States,1728145455.0,1728145456,-109.9332,38.9758,10972.8,False,228.64,259.5,0.0,,11536.68,1464,False,0
a67407,JIA5462 ,United States,1728145455.0,1728145455,-85.9804,32.2395,8595.36,False,250.03,51.43,3.25,,9067.8,7362,False,0
ac4e85,UAL1874 ,United States,1728145456.0,1728145456,-104.4901,40.4139,7109.46,False,220.07,49.65,1.63,,7452.36,3270,False,0
a12f2a,UAL2180 ,United States,1728145453.0,1728145455,-102.7766,31.3869,10363.2,False,225.9,281.69,0.0,,10965.18,,False,0
a2b919,ASA310  ,United States,1728145455.0,1728145456,-115.4906,35.8589,10066.02,False,248.13,50.47,0.0,,10660.38,7751,False,0
a1f9aa,N2260G  ,United States,1728145455.0,1728145455,-82.8432,36.1207,2529.84,False,47.87,241.78,1.3,,2674.62,,False,0
a4e4a3,SKW3330 ,United States,1728145455.0,1728145455,-122.5533,41.1977,10668.0,False,227.47,163.98,0.0,,11193.78,,False,0
adc531,AAL1244 ,United States,1728145455.0,1728145455,-88.167,35.6504,10058.4,False,249.74,67.34,0.0,,10553.7,6225,False,0
aa5d23,SKW4261 ,United States,1728145455.0,1728145455,-101.1589,47.7491,10980.42,False,197.55,287.11,0.0,,11049.0,,False,0
a339b4,DAL305  ,United States,1728145456.0,1728145456,-73.7247,40.6628,640.08,False,97.83,87.59,5.85,,693.42,,False,0
4cc582,ICE99K  ,Iceland,1728145455.0,1728145455,-0.9165,61.2241,11277.6,False,215.57,296.5,0.0,,11315.7,0457,False,0
ad0bbc,N94KM   ,United States,1728145455.0,1728145455,-80.6075,36.2418,1905.0,False,100.31,280.04,0.65,,2011.68,,False,0
a42186,N3652J  ,United States,1728145455.0,1728145455,-116.1833,33.5966,2743.2,False,52.38,38.22,0.0,,2941.32,,False,0
4402ac,EJU51EF ,Austria,1728145456.0,1728145456,14.0117,49.2553,11269.98,False,226.71,14.32,0.0,,11361.42,0474,False,0
401a19,GBANX   ,United Kingdom,1728145450.0,1728145453,0.0381,51.3385,152.4,False,32.45,205.35,-1.3,,213.36,,False,0
a54d34,N44013  ,United States,1728145455.0,1728145455,-83.9302,32.4664,556.26,False,49.78,156.88,2.28,,601.98,,False,0
a517dc,,United States,1728145431.0,1728145431,-77.0417,38.8575,,True,0.77,0.0,,,,,False,0
a00312,N10HH   ,United States,1728145455.0,1728145455,-84.5806,40.1822,13716.0,False,272.09,61.55,0.0,,14157.96,2357,False,0
402d40,GFPSA   ,United Kingdom,1728145455.0,1728145456,-1.1316,51.4503,708.66,False,46.61,37.38,0.65,,716.28,,False,0
a6d70f,N54RE   ,United States,1728145455.0,1728145456,-81.0892,30.3745,13106.4,False,210.71,183.08,0.0,,13792.2,2612,False,0
